;Fecha;Número de Desacatos a decretos de COVID-19;Establecimientos que incumplan decretos de COVID-19;Menores de edad que incumplan decretos COVID-19;Casos de violencia intrafamiliar atendidos;Hurtos a personas;Hurtos a comercio;Lesiones personales;Homicidios;Número de pasajeros en metrolinea;Número de pasajeros en metrolínea día de la semana anterior;Variación de pasajeros;Comparendos totales_x;Comparendos por Decretos COVID-19_x;Número de accidentes de transito;Número de accidentes en moto;Número de accidentes en carro;Lesionados en accidentes de transito;Lesionados en moto;Lesionados en carro_x;Lesionados peatones;Lesionados ciclistas ( bici-usuarios);Número de muertes en accidentes de transito;Número de muertes en moto;Lesionados en carro_y;Muertes de peatones;Muertes de ciclistas ( bici-usuarios);Comparendos totales_y;Comparendos por Decretos COVID-19_y;Hogares totales con desconexión;Hogares con reinstalaciones pendientes;Caudal [m3/s]_x;Turbiedad [Ntu]_x;Color (Unidades de Pt-Co)_x;Caudal [m3/s]_y;Turbiedad [Ntu]_y;Color (Unidades de Pt-Co)_y;Caudal [m3/s];Turbiedad [Ntu];Color (Unidades de Pt-Co);Capacidad de la planta [lps]_x;Caudal tratado [lps]_x;Caudal suministrado [lps]_x;Producción díaria [ m3]_x;Capacidad de la planta [lps]_y;Caudal tratado [lps]_y;Caudal suministrado [lps]_y;Producción díaria [ m3]_y;Capacidad de la planta [lps]_x;Caudal tratado [lps]_x;Caudal suministrado [lps]_x;Producción díaria [ m3]_x;Capacidad de la planta [lps]_y;Caudal tratado [lps]_y;Caudal suministrado [lps]_y;Producción díaria [ m3]_y;PRODUCIÓN TOTAL DIARIA [m3];Consumo per capita;Coagultante disponible [ton] ( Sulfato)_x;Coagulante duración estimada inventario  [días] ( Sulfato )_x;Desinfectante disponible [ton] ( Cloro liquido)_x;Desinfectante  duración estimada inventario  [días] ( Sulfato)_x;Coagultante disponible [ton] ( Sulfato Líquido);Coagulante duración estimada inventario  [días] ( Sulfato Líquido);Desinfectante disponible [ton] ( Cloro liquido)_y;Desinfectante  duración estimada inventario  [días] ( Sulfato)_y;Coagultante disponible [ton] ( Sulfato)_y;Coagulante duración estimada inventario  [días] ( Sulfato )_y;Desinfectante disponible [ton] ( Cloro liquido)_x;Desinfectante  duración estimada inventario  [días] ( Sulfato)_x;Coagultante disponible [ton] ( Sulfato);Coagulante duración estimada inventario  [días] ( Sulfato );Desinfectante disponible [ton] ( Cloro liquido)_y;Desinfectante  duración estimada inventario  [días] ( Sulfato)_y;Número de daños atendidos en redes matrices;Número de daños atendidos en acometidas.;Volumen de entrada a la central de abastos [Ton] (Hasta 6am);Volumen de salida de la central de abastos ( 6AM)[Ton];Volumen de salida de la central de abastos ( 1 PM)[Ton];Volumen acopiado en la central de abastos [Ton];Departamento del Atlantico;Departamento de la Guajira;Departamento de Bolivar;Departamento del Cesar;Departamento de Magdalena;Departamento de Norte de Santander;Magdalena Medio (Barrancabermeja, Sabana de Torres, Puerto Wilches, San Vicente, Cimitarra;Nororiente antioqueño;Provincia Guanentina
0;2020-02-20;0.0;0.0;0.0;0.0;64.0;44.0;92.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;1367.0;703.0;1.0;13.0;4.0;1.0;76.0;59.0;4.0;1.0;0.0;827.0;251.0;519.0;13590.0;1363.0;1698.0;642.0;68219.0;670.0;125.0;145.0;4759.0;327.0;371.0;1073.0;28334.0;59144.0;279.0;12.0;79.0;6.0;40.0;115.0;49.0;12.0;17.0;52.0;71.0;5.0;98.0;108.0;50.0;10.0;100.0;5.0;37.0;1305.0;886.0;1450.0;-145.0;37.0;20;27.0;165.0;38.0;31.0;22.0;27.0;16.0
1;2020-02-21;0.0;0.0;0.0;0.0;15.0;3.0;63.0;23.0;98224.0;95731.0;0.026041721072588817;186.0;0.0;39.0;20.0;6.0;97.0;49.0;5.0;2.0;0.0;6.0;3.0;0.0;0.0;0.0;186.0;0.0;1367.0;703.0;1.0;13.0;4.0;1.0;100.0;43.0;5.0;1.0;0.0;294.0;238.0;531.0;61542.0;2847.0;627.0;628.0;60071.0;390.0;139.0;60.0;12791.0;793.0;678.0;414.0;98848.0;265883.0;125.0;40.0;11.0;8.0;8.0;81.0;52.0;12.0;18.0;56.0;145.0;4.0;8.0;68.0;158.0;12.0;30.0;1.0;43.0;1512.0;158.0;267.0;1245.0;31.0;52;14.0;156.0;93.0;50.0;11.0;21.0;10.0
2;2020-02-22;0.0;0.0;0.0;0.0;2.0;44.0;8.0;62.0;75682.0;76485.0;-0.010498790612538406;162.0;0.0;19.0;10.0;3.0;94.0;47.0;5.0;2.0;0.0;9.0;5.0;1.0;0.0;0.0;162.0;0.0;1367.0;703.0;1.0;21.0;8.0;1.0;54.0;53.0;3.0;1.0;0.0;211.0;397.0;275.0;43678.0;1968.0;665.0;1318.0;73021.0;266.0;69.0;139.0;11997.0;1668.0;1164.0;411.0;83282.0;94450.0;119.0;18.0;46.0;6.0;90.0;138.0;8.0;14.0;30.0;14.0;21.0;5.0;105.0;33.0;73.0;5.0;50.0;5.0;37.0;1770.0;285.0;1651.0;119.0;52.0;33;23.0;44.0;65.0;15.0;39.0;6.0;19.0
3;2020-02-23;0.0;0.0;0.0;0.0;28.0;26.0;20.0;10.0;93795.0;35031.0;1.6774856555622164;74.0;0.0;1.0;1.0;0.0;78.0;39.0;4.0;1.0;0.0;10.0;5.0;1.0;0.0;0.0;74.0;0.0;1367.0;703.0;1.0;15.0;6.0;1.0;73.0;24.0;3.0;1.0;0.0;212.0;392.0;335.0;24005.0;1920.0;1623.0;1764.0;152852.0;373.0;130.0;73.0;6714.0;1158.0;940.0;489.0;69403.0;195630.0;120.0;59.0;26.0;4.0;50.0;137.0;69.0;1.0;9.0;120.0;84.0;3.0;71.0;168.0;161.0;4.0;58.0;3.0;13.0;1287.0;789.0;218.0;1069.0;52.0;40;9.0;124.0;92.0;39.0;36.0;6.0;11.0
4;2020-02-24;0.0;0.0;0.0;0.0;91.0;80.0;91.0;78.0;74900.0;91834.0;-0.18439793540518762;24.0;0.0;30.0;15.0;5.0;7.0;4.0;0.0;0.0;0.0;21.0;11.0;1.0;0.0;0.0;24.0;0.0;1367.0;703.0;1.0;15.0;4.0;1.0;87.0;27.0;3.0;1.0;0.0;561.0;120.0;122.0;37472.0;1774.0;626.0;1764.0;86964.0;396.0;46.0;63.0;2488.0;713.0;265.0;1135.0;80156.0;244095.0;273.0;45.0;45.0;2.0;90.0;45.0;4.0;11.0;63.0;69.0;153.0;5.0;37.0;247.0;163.0;10.0;105.0;5.0;13.0;741.0;826.0;1483.0;-742.0;43.0;21;16.0;55.0;55.0;36.0;38.0;12.0;17.0
5;2020-02-25;0.0;0.0;0.0;0.0;41.0;23.0;26.0;62.0;53134.0;43613.0;0.21830646825487812;156.0;0.0;8.0;4.0;1.0;98.0;49.0;5.0;2.0;0.0;27.0;14.0;1.0;0.0;0.0;156.0;0.0;1367.0;703.0;1.0;28.0;5.0;1.0;73.0;43.0;2.0;1.0;0.0;592.0;442.0;509.0;40368.0;1850.0;1692.0;255.0;63502.0;448.0;34.0;147.0;4100.0;966.0;1198.0;291.0;39917.0;249821.0;45.0;92.0;56.0;10.0;53.0;110.0;56.0;4.0;55.0;47.0;169.0;5.0;9.0;30.0;49.0;4.0;84.0;3.0;23.0;1873.0;242.0;1673.0;200.0;26.0;29;26.0;61.0;71.0;50.0;22.0;25.0;5.0
6;2020-02-26;0.0;0.0;0.0;0.0;68.0;35.0;19.0;14.0;11921.0;88251.0;-0.8649193776841055;122.0;0.0;2.0;1.0;0.0;27.0;14.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;122.0;0.0;1367.0;703.0;1.0;14.0;5.0;1.0;108.0;44.0;4.0;1.0;0.0;459.0;353.0;488.0;30208.0;878.0;1547.0;686.0;58187.0;336.0;87.0;21.0;6692.0;313.0;1233.0;1003.0;49523.0;278565.0;247.0;65.0;40.0;1.0;109.0;34.0;4.0;2.0;13.0;23.0;90.0;6.0;57.0;231.0;110.0;4.0;49.0;3.0;45.0;2069.0;115.0;1272.0;797.0;54.0;15;17.0;62.0;94.0;53.0;27.0;27.0;15.0
7;2020-02-27;0.0;0.0;0.0;0.0;49.0;37.0;52.0;29.0;36517.0;77717.0;-0.5301285433045537;19.0;0.0;1.0;1.0;0.0;64.0;32.0;3.0;1.0;0.0;28.0;14.0;1.0;0.0;0.0;19.0;0.0;1367.0;703.0;1.0;32.0;10.0;1.0;57.0;30.0;3.0;1.0;0.0;396.0;257.0;659.0;62491.0;1205.0;874.0;1755.0;111316.0;547.0;123.0;122.0;2548.0;1431.0;1126.0;1253.0;59008.0;110319.0;56.0;71.0;108.0;4.0;83.0;49.0;31.0;12.0;26.0;99.0;136.0;6.0;29.0;159.0;49.0;13.0;61.0;1.0;8.0;2580.0;669.0;550.0;2030.0;40.0;22;25.0;133.0;39.0;60.0;40.0;8.0;12.0
8;2020-02-28;0.0;0.0;0.0;0.0;22.0;48.0;60.0;15.0;16128.0;14225.0;0.1337785588752197;158.0;0.0;35.0;18.0;5.0;52.0;26.0;3.0;1.0;0.0;24.0;12.0;1.0;0.0;0.0;158.0;0.0;1367.0;703.0;1.0;29.0;10.0;1.0;78.0;36.0;2.0;1.0;0.0;333.0;599.0;484.0;18926.0;3228.0;575.0;1614.0;60510.0;199.0;33.0;78.0;2454.0;826.0;404.0;655.0;20484.0;155446.0;181.0;25.0;31.0;6.0;11.0;142.0;41.0;4.0;12.0;88.0;110.0;1.0;119.0;94.0;14.0;9.0;68.0;4.0;19.0;1108.0;678.0;1254.0;-146.0;56.0;39;15.0;107.0;49.0;59.0;38.0;6.0;18.0
9;2020-02-29;0.0;0.0;0.0;0.0;61.0;86.0;14.0;93.0;82351.0;35713.0;1.3059110127964606;161.0;0.0;18.0;9.0;3.0;92.0;46.0;5.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;161.0;0.0;1367.0;703.0;1.0;15.0;6.0;1.0;47.0;55.0;4.0;1.0;0.0;144.0;618.0;215.0;10713.0;2579.0;853.0;431.0;129742.0;140.0;41.0;112.0;6701.0;905.0;479.0;704.0;100762.0;280518.0;158.0;21.0;41.0;6.0;101.0;29.0;39.0;6.0;50.0;89.0;93.0;5.0;50.0;170.0;99.0;11.0;59.0;1.0;17.0;2594.0;688.0;1320.0;1274.0;59.0;46;13.0;81.0;27.0;34.0;20.0;6.0;19.0
